455.890,84760,20.1M,6.5G,44101,113.9M,322
1239.924,81973,45.7M,19.9G,36891,128.3M,434
2189.226,11455,12.1M,5.4G,5534,19.8M,447
400.337,3.3M,40.9M,13.0G,102148,260.6M,318
643.024,2.9M,44.1M,14.1G,68573,175.3M,319
1128.218,1.1M,19.8M,6.4G,17544,45.1M,321
1243.740,564131,10.9M,3.5G,8785,22.6M,321
1538.259,288747,5.7M,1.8G,3711,9.6M,322
715.518,227396,101.0M,32.2G,141217,359.6M,318
1272.092,174289,76.9M,24.5G,60418,153.9M,318
1681.015,41856,24.9M,7.9G,14807,37.7M,318
2508.325,24354,14.5M,4.6G,5762,14.7M,318
3348.784,10884,6.3M,2.0G,1877,4.8M,318
12774.883,895302,152.1M,45.0G,11903,28.2M,296
13074.179,1.3M,193.7M,42.4G,14817,26.0M,219
13665.163,976827,199.3M,31.4G,14586,18.4M,157
13974.893,729791,283.0M,58.9G,20247,33.7M,208
13941.727,1.3M,306.8M,48.4G,22005,27.8M,157
14569.988,823730,339.0M,33.5G,23265,18.4M,98
14874.604,529690,280.6M,29.5G,18867,15.8M,104
15156.911,388564,209.3M,20.2G,13810,10.6M,96
8857.464,278299,144.6M,15.5G,16325,14.0M,107
15409.312,227478,139.2M,12.9G,9033,6.7M,92
10673.743,185420,137.6M,12.3G,12889,9.2M,89
11635.157,131888,89.9M,9.1G,7729,6.3M,101
